"","doc_id","sentence","token","upos","Entity","friends_count","country","NewsChannel"
"31929","doc4253","nurse old soul uufufdaufeuf scc class","nurse","ADJ","Profession",256,NA,"FOX"
"31942","doc4255","brave man feel afraid conquers fear nelson mandela","brave","ADJ","Personality",956,NA,"FOX"
"31952","doc4256","independent vaccine researcher public speaker producer vaccine library series vaccine risks responsibility rights","researcher","NOUN","Profession",1027,NA,"FOX"
"31955","doc4256","independent vaccine researcher public speaker producer vaccine library series vaccine risks responsibility rights","producer","NOUN","Profession",1027,NA,"FOX"
"31970","doc4257","love travel see surprise always religious view islam sr service engineer mech iqra power ltd searching free soul","islam","NOUN","Religion",380,NA,"FOX"
"31972","doc4257","love travel see surprise always religious view islam sr service engineer mech iqra power ltd searching free soul","service","NOUN","Profession",380,NA,"FOX"
"31973","doc4257","love travel see surprise always religious view islam sr service engineer mech iqra power ltd searching free soul","engineer","NOUN","Profession",380,NA,"FOX"
"32000","doc4259","born iran left ceo old enough remember life revolution young enough want help bring back support free referendum","support","VERB","Profession",277,NA,"FOX"
"32016","doc4260","biripi man veteran love australia best country world ptsd support advocate veterans fire brigade paramedics police","support","NOUN","Profession",311,NA,"FOX"
"32017","doc4260","biripi man veteran love australia best country world ptsd support advocate veterans fire brigade paramedics police","advocate","ADJ","Profession",311,NA,"FOX"
"32022","doc4260","biripi man veteran love australia best country world ptsd support advocate veterans fire brigade paramedics police","police","NOUN","Profession",311,NA,"FOX"
"32027","doc4263","healthcare professional daughter sister wife mother friend colleague associate ntst innovation leadingtechnology nasl postacute","professional","ADJ","Profession",455,NA,"FOX"
"32046","doc4264","secure convenient cryptocurrency exchange world fastest support please create customer support ticket site","support","NOUN","Profession",2784,NA,"FOX"
"32050","doc4264","secure convenient cryptocurrency exchange world fastest support please create customer support ticket site","support","NOUN","Profession",2784,NA,"FOX"
"32052","doc4264","secure convenient cryptocurrency exchange world fastest support please create customer support ticket site","site","NOUN","Profession",2784,NA,"FOX"
"32089","doc4267","impossible fact opinion take small steps careful commit honest deliver promises repeat","careful","VERB","Personality",1876,NA,"FOX"
"32091","doc4267","impossible fact opinion take small steps careful commit honest deliver promises repeat","honest","ADJ","Personality",1876,NA,"FOX"
