"","doc_id","sentence","token","upos","Entity","friends_count","country","NewsChannel"
"4184","doc1528","mechanical engineer","engineer","NOUN","Profession",598,NA,"FOX"
"4185","doc1529","monitoring pulse mining executives create st century industry adaptive mining knowledge ecosystems future generations","mining","VERB","Profession",3906,NA,"FOX"
"4186","doc1529","monitoring pulse mining executives create st century industry adaptive mining knowledge ecosystems future generations","mining","VERB","Profession",3906,NA,"FOX"
"4187","doc153","single working mom huge general hospital fan","general","ADJ","Profession",294,NA,"FOX"
"4188","doc1534","scientist using rcts understand menstrual cycle mechanisms pmdd pme depression borderlinepd suicide uffufefuduf pi clearlabuic bod iapmdglobal","scientist","VERB","Profession",4577,NA,"FOX"
"4189","doc1535","bubkhistorypoli sci student vegan uf movie fanatic intersectional feminist insta astoldbygabby subscribe channel uufuffe","student","NOUN","Profession",3764,NA,"FOX"
"4190","doc1538","commentator game updater youtuber badass","game","NOUN","Profession",259,NA,"FOX"
"4191","doc1540","political science student just liberal loves cat","political","ADJ","Profession",251,NA,"FOX"
"4192","doc1540","political science student just liberal loves cat","student","NOUN","Profession",251,NA,"FOX"
"4193","doc1541","believer uffuffb mother ufuffbcommunicator ufuffbuduufeffoodie ufb music lover ufbbeach lovin ufdufefpatriot uffauff","music","X","Hobbies",304,NA,"FOX"
"4194","doc1543","m man loves god country politics sports love hear different opinions let<U+393C><U+3E32>s hear","politics","NOUN","Hobbies",2565,NA,"FOX"
"4195","doc1543","m man loves god country politics sports love hear different opinions let<U+393C><U+3E32>s hear","sports","NOUN","Hobbies",2565,NA,"FOX"
"4196","doc1544","good freedom unsafe freedom without safety truly free government path true freedom authoritarianism","good","ADJ","Personality",392,NA,"FOX"
"4197","doc1544","good freedom unsafe freedom without safety truly free government path true freedom authoritarianism","government","NOUN","Profession",392,NA,"FOX"
"4198","doc1545","euclid professional firefighters iaff local","professional","ADJ","Profession",581,NA,"FOX"
"4199","doc1545","euclid professional firefighters iaff local","local","ADJ","Profession",581,NA,"FOX"
"4200","doc1547","four season yard care cranbrookgroundcontrolgmailcom private message us facebook instagram page groundcontrol twitter","facebook","VERB","Organization",972,NA,"FOX"
"4201","doc1547","four season yard care cranbrookgroundcontrolgmailcom private message us facebook instagram page groundcontrol twitter","twitter","NOUN","Organization",972,NA,"FOX"
"4202","doc1548","dad tj holton makenna husband lori associate head coach ut arlington lady mavericks","coach","NOUN","Profession",986,NA,"FOX"
"4203","doc1549","small business owner","business","NOUN","Profession",259,NA,"FOX"
"4204","doc155","lecturer cudenverspa co social entrepreneur retired political organizer former mckinsey former international dev worldbank liberia","lecturer","NOUN","Profession",720,NA,"FOX"
"4205","doc155","lecturer cudenverspa co social entrepreneur retired political organizer former mckinsey former international dev worldbank liberia","social","ADJ","Profession",720,NA,"FOX"
"4206","doc155","lecturer cudenverspa co social entrepreneur retired political organizer former mckinsey former international dev worldbank liberia","entrepreneur","NOUN","Profession",720,NA,"FOX"
"4207","doc155","lecturer cudenverspa co social entrepreneur retired political organizer former mckinsey former international dev worldbank liberia","political","ADJ","Profession",720,NA,"FOX"
"4208","doc1553","former private first class pfc united states army former prisoner war inspire motivate educate","army","NOUN","Profession",308,NA,"FOX"
"4209","doc1555","mariah dunn ufcplayerufafitsmariahwoo highlight video ufuffe httpstcounoigrycjo ufuffe httpstcokcdirfrk","video","NOUN","Profession",527,NA,"FOX"
"4210","doc1556","christ follower saved grace teacher coffee drinker friend","christ","VERB","Religion",272,NA,"FOX"
"4211","doc1556","christ follower saved grace teacher coffee drinker friend","teacher","NOUN","Profession",272,NA,"FOX"
"4212","doc1560","learning truth shattered faith strengthens saved faith patriots wwgwga potus believe goodtimes","learning","VERB","Profession",2913,NA,"FOX"
