"","doc_id","sentence","token","upos","Entity","friends_count","country","NewsChannel"
"1442","doc1157","news local news world news sports music international music local music government local government politics international politics","music","NOUN","Hobbies",269,NA,"CNN"
"1443","doc1157","news local news world news sports music international music local music government local government politics international politics","government","NOUN","Profession",269,NA,"CNN"
"1444","doc1157","news local news world news sports music international music local music government local government politics international politics","local","ADJ","Profession",269,NA,"CNN"
"1445","doc1157","news local news world news sports music international music local music government local government politics international politics","government","NOUN","Profession",269,NA,"CNN"
"1446","doc1157","news local news world news sports music international music local music government local government politics international politics","politics","NOUN","Hobbies",269,NA,"CNN"
"1448","doc1157","news local news world news sports music international music local music government local government politics international politics","politics","NOUN","Hobbies",269,NA,"CNN"
"1449","doc1158","professional curmudgeonoptimist hard combo least dont get paid","professional","ADJ","Profession",743,NA,"CNN"
"1470","doc116","economist computer scientist sports guy","economist","ADJ","Profession",307,NA,"CNN"
"1471","doc116","economist computer scientist sports guy","computer","NOUN","Profession",307,NA,"CNN"
"1472","doc116","economist computer scientist sports guy","scientist","NOUN","Profession",307,NA,"CNN"
"1473","doc116","economist computer scientist sports guy","sports","NOUN","Hobbies",307,NA,"CNN"
"1479","doc1160","americanvenezuelan president finser asset management","management","NOUN","Profession",890,NA,"CNN"
"1485","doc1161","year old youtuber subscribers agp army life teamweakly try upload weekly channel agparmy ripagp","army","NOUN","Profession",359,NA,"CNN"
"1507","doc1162","noninvasive cross fibre manouvering fascia muscle designed promote relaxation reset bodys healing response gentle extremely effe","gentle","ADJ","Personality",330,NA,"CNN"
"1515","doc1163","father husband biz dev fuseproject passionate design innovation sustainability solving problems","passionate","NOUN","Personality",445,NA,"CNN"
"1516","doc1163","father husband biz dev fuseproject passionate design innovation sustainability solving problems","design","NOUN","Profession",445,NA,"CNN"
"1522","doc1164","life teacher live learn","teacher","NOUN","Profession",304,NA,"CNN"
"1560","doc1170","student journalist studying college north atlantic story dm meuf","student","NOUN","Profession",273,NA,"CNN"
"1561","doc1170","student journalist studying college north atlantic story dm meuf","journalist","NOUN","Profession",273,NA,"CNN"
"1563","doc1170","student journalist studying college north atlantic story dm meuf","college","NOUN","Profession",273,NA,"CNN"
"1571","doc1171","wisconsin state representative th assembly district","representative","NOUN","Profession",358,NA,"CNN"
"1585","doc1173","self taught fashion designer rawsilksabc season contestant instagram eunicascreations contact facebook pageeunicas creations","designer","NOUN","Profession",649,NA,"CNN"
"1592","doc1173","self taught fashion designer rawsilksabc season contestant instagram eunicascreations contact facebook pageeunicas creations","facebook","ADJ","Organization",649,NA,"CNN"
"1607","doc1175","studies estate managementisfobbenin universityufeufef entrepreneur founder ngyama farmsricc clothing collectionsoon hustler certified stonerchessplayer","entrepreneur","NOUN","Profession",268,NA,"CNN"
"1626","doc1177","dont say cant thats can entrepreneur follow back","ca","AUX","Organization",434,NA,"CNN"
"1630","doc1177","dont say cant thats can entrepreneur follow back","entrepreneur","PRON","Profession",434,NA,"CNN"
"1636","doc1179","left politics gtto unite member arsenal fc manage labourleft acc personal acc","politics","NOUN","Hobbies",6382,NA,"CNN"
"1655","doc1180","rn emergency department nurse uith open new opportunities email adeosunreubengmailcom","nurse","NOUN","Profession",967,NA,"CNN"
"1674","doc1182","jealous wasnt us","jealous","ADJ","Personality",944,NA,"CNN"
"1683","doc1184","professional wordpress developer webdesigner also expert woocommerce genesis working web developer long time","professional","ADJ","Profession",1159,NA,"CNN"
"1685","doc1184","professional wordpress developer webdesigner also expert woocommerce genesis working web developer long time","developer","NOUN","Profession",1159,NA,"CNN"
"1692","doc1184","professional wordpress developer webdesigner also expert woocommerce genesis working web developer long time","web","NOUN","Profession",1159,NA,"CNN"
"1693","doc1184","professional wordpress developer webdesigner also expert woocommerce genesis working web developer long time","developer","ADP","Profession",1159,NA,"CNN"
"1701","doc1186","news editor inshorts sports carpe diem","editor","NOUN","Profession",660,NA,"CNN"
"1703","doc1186","news editor inshorts sports carpe diem","sports","NOUN","Hobbies",660,NA,"CNN"
"1711","doc1187","living picture entertainment fledgling production company created support artistic efforts attending full sail university beyond","company","NOUN","Profession",270,NA,"CNN"
"1713","doc1187","living picture entertainment fledgling production company created support artistic efforts attending full sail university beyond","support","NOUN","Profession",270,NA,"CNN"
"1719","doc1187","living picture entertainment fledgling production company created support artistic efforts attending full sail university beyond","university","NOUN","Profession",270,NA,"CNN"
"1723","doc1189","marketing major tsu money ain<U+393C><U+3E32>","marketing","NOUN","Profession",952,NA,"CNN"
"1770","doc1192","gcm empower people every age stage wisdom live productive full fear free life confidence gracious tenacity christ jesus","christ","NOUN","Religion",1035,NA,"CNN"
"1771","doc1192","gcm empower people every age stage wisdom live productive full fear free life confidence gracious tenacity christ jesus","jesus","NOUN","Religion",1035,NA,"CNN"
"1772","doc1193","representative human collective","representative","VERB","Profession",2613,NA,"CNN"
"1777","doc1194","mum law student round multitasker","student","NOUN","Profession",281,NA,"CNN"
"1783","doc1196","twitter page office dc councilmember elissa silverman chair committee labor workforce development tweets staff","twitter","NOUN","Organization",2885,NA,"CNN"
"1785","doc1196","twitter page office dc councilmember elissa silverman chair committee labor workforce development tweets staff","office","NOUN","Profession",2885,NA,"CNN"
"1794","doc1196","twitter page office dc councilmember elissa silverman chair committee labor workforce development tweets staff","development","NOUN","Profession",2885,NA,"CNN"
"1807","doc1198","writer tennis contributor sballscom covering cfb vavelusa social media digital content usamso views mine email thomascyahoocom","writer","NOUN","Profession",1209,NA,"CNN"
"1808","doc1198","writer tennis contributor sballscom covering cfb vavelusa social media digital content usamso views mine email thomascyahoocom","tennis","NOUN","Hobbies",1209,NA,"CNN"
"1814","doc1198","writer tennis contributor sballscom covering cfb vavelusa social media digital content usamso views mine email thomascyahoocom","social","ADJ","Profession",1209,NA,"CNN"
"1815","doc1198","writer tennis contributor sballscom covering cfb vavelusa social media digital content usamso views mine email thomascyahoocom","media","NOUN","Profession",1209,NA,"CNN"
"1851","doc12","junior seo specialist spotcapglobal","specialist","NOUN","Profession",578,NA,"CNN"
"1895","doc1205","god made writing passion talk precious historian teacher mathematicseducation teamknustalumini teammanutd teamheartsofoak african","writing","NOUN","Hobbies",434,NA,"CNN"
"1900","doc1205","god made writing passion talk precious historian teacher mathematicseducation teamknustalumini teammanutd teamheartsofoak african","teacher","NOUN","Profession",434,NA,"CNN"
"1906","doc1206","basketball skilz","basketball","NOUN","Hobbies",376,NA,"CNN"
"1912","doc1207","arizona state alumni chicago sports enthusiast","sports","NOUN","Hobbies",545,NA,"CNN"
"1914","doc1208","music","music","NOUN","Hobbies",293,NA,"CNN"
"1920","doc1209","overdose life thru microphone comedienne writer rapper seen starz bet mtv tbsnetwork upn lovedocumentarypodcastufuffe","writer","NOUN","Profession",805,NA,"CNN"
"1944","doc1212","opensource internet things cloud platform hardware expertise iotmm application deployment data integration device assets management","internet","NOUN","Hobbies",570,NA,"CNN"
"1953","doc1212","opensource internet things cloud platform hardware expertise iotmm application deployment data integration device assets management","data","NOUN","Profession",570,NA,"CNN"
"1957","doc1212","opensource internet things cloud platform hardware expertise iotmm application deployment data integration device assets management","management","NOUN","Profession",570,NA,"CNN"
"1963","doc1213","outreach gal comissourian dog enthusiast social mediavisual editor globaljourn former brussels sprout politicoeurope","social","ADJ","Profession",374,NA,"CNN"
"1965","doc1213","outreach gal comissourian dog enthusiast social mediavisual editor globaljourn former brussels sprout politicoeurope","editor","NOUN","Profession",374,NA,"CNN"
"1976","doc1214","leader follower humanity first priority social activist ufufuf uffuture politicianuf","social","ADJ","Profession",398,NA,"CNN"
"1977","doc1214","leader follower humanity first priority social activist ufufuf uffuture politicianuf","activist","NOUN","Profession",398,NA,"CNN"
